DEPTH,GR,RT.OHMM,RXO.OHMM,TVD,TVDSS
56.0832,-999.25,-999.25,-999.25,56.083,36.763
56.2356,-999.25,-999.25,-999.25,56.2354,36.9154
56.388,-999.25,-999.25,-999.25,56.3878,37.0678
56.5404,-999.25,-999.25,-999.25,56.5402,37.2202
56.6928,-999.25,-999.25,-999.25,56.6926,37.3726
56.8452,-999.25,-999.25,-999.25,56.845,37.525
56.9976,-999.25,-999.25,-999.25,56.9974,37.6774
57.15,-999.25,-999.25,-999.25,57.1498,37.8298
57.3024,-999.25,-999.25,-999.25,57.3022,37.9822
57.4548,-999.25,-999.25,-999.25,57.4546,38.1346
57.6072,-999.25,-999.25,-999.25,57.607,38.287
57.7596,-999.25,-999.25,-999.25,57.7594,38.4394
57.912,-999.25,-999.25,-999.25,57.9118,38.5918
58.0644,-999.25,-999.25,-999.25,58.0642,38.7442
58.2168,-999.25,-999.25,-999.25,58.2166,38.8966
58.3692,-999.25,-999.25,-999.25,58.369,39.049
58.5216,-999.25,-999.25,-999.25,58.5214,39.2014
58.674,-999.25,-999.25,-999.25,58.6738,39.3538
58.8264,-999.25,-999.25,-999.25,58.8262,39.5062
58.9788,-999.25,-999.25,-999.25,58.9786,39.6586
59.1312,-999.25,-999.25,-999.25,59.131,39.811
59.2836,-999.25,-999.25,-999.25,59.2834,39.9634
59.436,-999.25,-999.25,-999.25,59.4358,40.1158
59.5884,-999.25,-999.25,-999.25,59.5882,40.2682
59.7408,-999.25,-999.25,-999.25,59.7406,40.4206
59.8932,-999.25,-999.25,-999.25,59.8929,40.5729
60.0456,-999.25,-999.25,-999.25,60.0453,40.7253
60.198,-999.25,-999.25,-999.25,60.1977,40.8777
60.3504,-999.25,-999.25,-999.25,60.3501,41.0301
60.5028,-999.25,-999.25,-999.25,60.5025,41.1825
60.6552,-999.25,-999.25,-999.25,60.6549,41.3349
60.8076,-999.25,-999.25,-999.25,60.8073,41.4873
60.96,-999.25,-999.25,-999.25,60.9597,41.6397
61.1124,-999.25,-999.25,-999.25,61.1121,41.7921
61.2648,-999.25,-999.25,-999.25,61.2645,41.9445
61.4172,-999.25,-999.25,-999.25,61.4169,42.0969
61.5696,-999.25,-999.25,-999.25,61.5693,42.2493
61.722,-999.25,-999.25,-999.25,61.7217,42.4017
61.8744,-999.25,-999.25,-999.25,61.8741,42.5541
62.0268,-999.25,-999.25,-999.25,62.0265,42.7065
62.1792,-999.25,-999.25,-999.25,62.1789,42.8589
62.3316,-999.25,-999.25,-999.25,62.3313,43.0113
62.484,-999.25,-999.25,-999.25,62.4837,43.1637
62.6364,-999.25,-999.25,-999.25,62.6361,43.3161
62.7888,-999.25,-999.25,-999.25,62.7885,43.4685
62.9412,-999.25,-999.25,-999.25,62.9409,43.6209
63.0936,-999.25,-999.25,-999.25,63.0933,43.7733
63.246,-999.25,-999.25,-999.25,63.2457,43.9257
63.3984,-999.25,-999.25,-999.25,63.3981,44.0781
63.5508,-999.25,-999.25,-999.25,63.5505,44.2305
63.7032,-999.25,-999.25,-999.25,63.7029,44.3829
63.8556,-999.25,-999.25,-999.25,63.8553,44.5353
64.008,-999.25,-999.25,-999.25,64.0077,44.6877
64.1604,-999.25,-999.25,-999.25,64.1601,44.8401
64.3128,-999.25,-999.25,-999.25,64.3125,44.9925
64.4652,-999.25,-999.25,-999.25,64.4649,45.1449
64.6176,-999.25,-999.25,-999.25,64.6173,45.2973
64.77,-999.25,-999.25,-999.25,64.7697,45.4497
64.9224,-999.25,-999.25,-999.25,64.9221,45.6021
65.0748,-999.25,-999.25,-999.25,65.0745,45.7545
65.2272,-999.25,-999.25,-999.25,65.2269,45.9069
65.3796,-999.25,-999.25,-999.25,65.3793,46.0593
65.532,-999.25,-999.25,-999.25,65.5317,46.2117
65.6844,-999.25,-999.25,-999.25,65.6841,46.3641
65.8368,-999.25,-999.25,-999.25,65.8365,46.5165
65.9892,-999.25,-999.25,-999.25,65.9889,46.6689
66.1416,-999.25,-999.25,-999.25,66.1413,46.8213
66.294,-999.25,-999.25,-999.25,66.2937,46.9737
66.4464,-999.25,-999.25,-999.25,66.446,47.126
66.5988,-999.25,-999.25,-999.25,66.5984,47.2784
66.7512,-999.25,-999.25,-999.25,66.7508,47.4308
66.9036,-999.25,-999.25,-999.25,66.9032,47.5832
67.056,-999.25,-999.25,-999.25,67.0556,47.7356
67.2084,-999.25,-999.25,-999.25,67.208,47.888
67.3608,-999.25,-999.25,-999.25,67.3604,48.0404
67.5132,-999.25,-999.25,-999.25,67.5128,48.1928
67.6656,-999.25,-999.25,-999.25,67.6652,48.3452
67.818,-999.25,-999.25,-999.25,67.8176,48.4976
67.9704,-999.25,-999.25,-999.25,67.97,48.65
68.1228,-999.25,-999.25,-999.25,68.1224,48.8024
68.2752,-999.25,-999.25,-999.25,68.2748,48.9548
68.4276,-999.25,-999.25,-999.25,68.4272,49.1072
68.58,-999.25,-999.25,-999.25,68.5796,49.2596
68.7324,-999.25,-999.25,-999.25,68.732,49.412
68.8848,-999.25,-999.25,-999.25,68.8844,49.5644
69.0372,-999.25,-999.25,-999.25,69.0368,49.7168
69.1896,-999.25,-999.25,-999.25,69.1892,49.8692
69.342,-999.25,-999.25,-999.25,69.3416,50.0216
69.4944,-999.25,-999.25,-999.25,69.494,50.174
69.6468,-999.25,-999.25,-999.25,69.6464,50.3264
69.7992,-999.25,-999.25,-999.25,69.7988,50.4788
69.9516,-999.25,-999.25,-999.25,69.9512,50.6312
70.104,-999.25,-999.25,-999.25,70.1036,50.7836
70.2564,-999.25,-999.25,-999.25,70.256,50.936
70.4088,-999.25,-999.25,-999.25,70.4084,51.0884
70.5612,-999.25,-999.25,-999.25,70.5608,51.2408
